,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total,load,evict,total,load,evict,total,load,evict,total
940,,,,1.64,234.285714285714,0.17,315.412186379928,311.23,,,,,,,12,14,14,10,17.8,55.8,56.55,115.28,8.16,48.24,56.4,48.24,7.36,30.56,37.92,30.56,8.16,27.28,35.44
950,,,,1.64,234.285714285714,0.17,315.412186379928,307.21,,,,,,,12,14,14,10,17.8,55.8,57.29,114,8.16,48.32,56.48,48.32,7.36,30.64,38,30.64,8.16,27.52,35.68
960,,,,1.64,234.285714285714,0.17,315.412186379928,320.24,,,,,,,12,14,14,10,17.8,55.8,54.96,115.2,8.16,42.56,50.72,42.56,7.36,30.56,37.92,30.56,8.16,27.52,35.68
970,,,,1.64,234.285714285714,0.17,315.412186379928,312.25,,,,,,,12,14,14,10,17.8,55.8,56.37,113.92,8.16,48.32,56.48,48.32,7.36,30.64,38,30.64,8.16,28.16,36.32
980,,,,1.64,234.285714285714,0.17,315.412186379928,312.02,,,,,,,12,14,14,10,17.8,55.8,56.41,114.56,8.08,48.32,56.4,48.32,7.36,30.56,37.92,30.56,8.16,28.64,36.8
990,,,,1.64,234.285714285714,0.17,315.412186379928,312.18,,,,,,,12,14,14,10,17.8,55.8,56.38,113.92,8.16,48.32,56.48,48.32,7.44,30.64,38.08,30.64,8.16,28.16,36.32
1000,,,,1.64,234.285714285714,0.17,315.412186379928,300.58,,,,,,,12,14,14,10,17.8,55.8,58.55,115.04,8.16,48.32,56.48,48.32,7.44,30.72,38.16,30.72,8.16,28.24,36.4
1010,,,,1.64,234.285714285714,0.17,315.412186379928,311.54,,,,,,,12,14,14,10,17.8,55.8,56.49,113.2,8,48.64,56.64,48.64,7.36,30.48,37.84,30.48,8.16,29.2,37.36
1020,,,,1.64,234.285714285714,0.17,315.412186379928,312.84,,,,,,,12,14,14,10,17.8,55.8,56.26,115.04,8.16,44,52.16,44,7.28,30,37.28,30,8.16,29.28,37.44
1030,,,,1.64,234.285714285714,0.17,315.412186379928,306.12,,,,,,,12,14,14,10,17.8,55.8,57.49,113.84,8.16,48.4,56.56,48.4,7.44,30.4,37.84,30.4,8.16,29.36,37.52
1040,,,,1.64,234.285714285714,0.17,315.412186379928,295.94,,,,,,,12,14,14,10,17.8,55.8,59.47,114.96,8.16,48.72,56.88,48.72,7.44,30.64,38.08,30.64,8.16,30,38.16
1050,,,,1.64,234.285714285714,0.17,315.412186379928,305.83,,,,,,,12,14,14,10,17.8,55.8,57.55,113.84,8.16,48.32,56.48,48.32,7.44,30.72,38.16,30.72,8.16,30.16,38.32
1060,,,,1.64,234.285714285714,0.17,315.412186379928,303.18,,,,,,,12,14,14,10,17.8,55.8,58.05,114.4,8.08,48.32,56.4,48.32,7.44,30.64,38.08,30.64,8.16,30.4,38.56
1070,,,,1.64,234.285714285714,0.17,315.412186379928,304.46,,,,,,,12,14,14,10,17.8,55.8,57.81,113.76,8.16,48.32,56.48,48.32,7.36,30.48,37.84,30.48,8.16,30.24,38.4
1080,,,,1.64,234.285714285714,0.17,315.412186379928,309.55,,,,,,,12,14,14,10,17.8,55.8,56.86,114.88,8.16,48.32,56.48,48.32,7.28,30.24,37.52,30.24,8.16,30.32,38.48
